Dates,IVOL_IMPLIED_FORWARD,IVOL_DELTA
2/23/23,425.3111,17.9474
2/24/23,421.2726,18.0953
2/27/23,422.4462,18.0089
2/28/23,422.4071,17.7372
3/1/23,420.1275,17.902
3/2/23,422.7798,17.7859
3/3/23,430.2369,17.3056
3/6/23,430.8732,17.3373
3/7/23,424.4777,17.6327
3/8/23,424.9924,17.5564
3/9/23,416.0322,18.1884
3/10/23,408.3182,18.6499
3/13/23,401.6584,19.2434
3/14/23,410.6996,18.4722
3/15/23,405.4926,19.1519
3/16/23,415.4126,18.647
3/17/23,408.6872,19.4084
3/20/23,413.8831,18.9639
3/21/23,420.6004,18.4349
3/22/23,414.1827,18.5882
3/23/23,414.1564,18.4116
3/24/23,414.5539,18.5687
3/27/23,415.538,18.5812
3/28/23,415.9375,18.2999
3/29/23,421.9855,18.0724
3/30/23,424.7019,17.9475
3/31/23,430.4446,17.474
4/3/23,432.2893,17.4076
4/4/23,428.6373,17.7115
4/5/23,427.3373,17.8246
4/6/23,428.8891,17.8277
4/10/23,430.2437,17.6069
4/11/23,430.8804,17.6191
4/12/23,428.7954,17.7061
